N,P,K,temperature,humidity,ph,rainfall,soil,crop_label
40,27,45,21.66,94.79,5.89,112.43,sandy loam,guinea_corn
120,7,47,24.25,83.04,6.65,54.77,loamy clay ,pepper
102,11,47,27.99,92.78,6.5,27.15,sandy loam,tomatoes
5,25,6,30.72,94.01,6.01,106.81,loamy,orange
36,43,21,28.36,84.86,7.14,52.93,loamy,yam
94,54,17,23.39,61.74,5.87,107.32,sandy loam,maize
17,59,17,18.42,23.43,5.69,132.98,clay,beans
63,35,16,22.03,65.36,6.27,83.73,sandy loam,maize
10,56,16,28.17,81.05,6.83,36.36,loamy,yam
106,20,51,29.73,90.97,6.34,20.49,sandy loam,tomatoes
10,5,42,20.24,91.09,6.89,109.25,sandy loam,guinea_corn
101,25,52,29.1,94.22,6.75,22.52,sandy loam,tomatoes
35,63,76,17.82,17.61,6.71,90.82,loamy,soybean
102,11,47,27.99,92.78,6.5,27.15,sandy loam,tomatoes
12,8,10,16.15,91.44,8.0,107.43,loamy,orange
12,63,17,18.36,19.38,5.72,138.41,clay,beans
97,25,50,26.22,80.9,6.09,49.09,loamy clay ,pepper
15,6,41,19.01,88.84,6.9,108.68,sandy loam,guinea_corn
9,48,22,27.77,87.1,6.4,49.51,loamy,yam
10,59,22,28.61,86.99,7.16,36.95,loamy,yam
91,55,15,18.09,72.61,6.38,78.96,sandy loam,maize
39,17,45,18.1,90.42,6.92,104.88,sandy loam,guinea_corn
77,57,21,24.93,73.8,6.55,79.74,sandy loam,maize
40,63,18,30.42,67.66,6.74,63.02,sandy loam,cassava
18,14,11,28.05,90.01,6.55,117.13,loamy,orange
14,25,40,20.07,90.98,6.41,103.71,sandy loam,guinea_corn
27,79,82,17.07,17.54,6.31,70.87,loamy,soybean
38,36,21,28.03,84.88,6.56,36.12,loamy,yam
36,24,41,24.94,94.26,7.01,103.88,sandy loam,guinea_corn
81,45,35,26.53,80.12,6.16,218.92,clay,rice
115,12,52,27.51,94.96,6.69,21.02,sandy loam,tomatoes
90,14,52,24.85,89.2,6.39,59.68,loamy clay ,pepper
10,59,15,29.83,89.3,6.32,58.87,loamy,yam
42,74,83,19.26,14.28,7.55,65.78,loamy,soybean
25,63,20,15.79,21.15,5.5,95.17,clay,beans
22,72,85,18.87,15.66,6.39,88.51,loamy,soybean
91,35,39,23.79,80.42,6.97,206.26,clay,rice
83,60,36,25.6,80.15,6.9,200.83,clay,rice
31,76,82,20.82,17.85,7.6,79.21,loamy,soybean
21,6,41,24.88,89.4,7.09,107.2,sandy loam,guinea_corn
28,66,23,21.54,24.25,6.0,120.69,clay,beans
32,13,42,23.5,92.98,5.79,106.62,sandy loam,guinea_corn
42,61,22,26.27,62.29,7.42,70.23,sandy loam,cassava
41,62,15,29.38,64.15,7.36,65.24,sandy loam,cassava
25,68,77,20.09,15.11,7.7,85.75,loamy,soybean
82,23,49,26.81,87.22,6.87,51.7,loamy clay ,pepper
36,55,20,27.01,84.34,6.64,55.3,loamy,yam
56,79,15,29.48,63.2,7.45,71.89,sandy loam,cassava
76,48,18,19.3,69.63,5.78,83.21,sandy loam,maize
39,76,76,19.97,15.57,6.14,69.16,loamy,soybean
50,74,17,27.1,63.36,6.54,73.85,sandy loam,cassava
60,61,78,20.71,19.84,6.32,94.04,loamy,soybean
98,7,45,27.79,92.51,6.16,26.85,sandy loam,tomatoes
102,14,52,26.79,89.65,6.51,57.74,loamy clay ,pepper
105,30,50,25.3,81.78,6.38,57.04,loamy clay ,pepper
51,72,75,18.89,14.99,7.1,80.11,loamy,soybean
42,67,77,18.99,15.94,6.11,78.71,loamy,soybean
43,61,20,26.87,61.61,6.8,63.52,sandy loam,cassava
20,62,18,29.36,64.99,7.37,61.91,sandy loam,cassava
21,6,41,24.88,89.4,7.09,107.2,sandy loam,guinea_corn
24,55,78,17.3,15.15,6.65,75.58,loamy,soybean
77,36,23,24.71,56.73,6.65,88.45,sandy loam,maize
87,21,52,27.35,94.29,6.07,27.21,sandy loam,tomatoes
6,62,22,20.53,18.09,5.82,120.45,clay,beans
30,7,15,33.23,91.06,7.83,115.77,loamy,orange
31,51,25,27.54,85.57,7.2,53.02,loamy,yam
17,64,17,21.02,24.94,5.66,124.61,clay,beans
98,7,45,27.79,92.51,6.16,26.85,sandy loam,tomatoes
5,13,37,22.34,89.79,5.65,103.32,sandy loam,guinea_corn
9,80,19,21.81,18.57,5.95,125.1,clay,beans
5,24,40,24.69,93.87,6.3,104.67,sandy loam,guinea_corn
73,35,38,24.89,81.98,5.01,185.95,clay,rice
74,35,40,26.49,80.16,6.98,242.86,clay,rice
113,30,50,26.04,83.99,6.28,43.88,loamy clay ,pepper
2,47,15,29.87,85.99,6.4,58.41,loamy,yam
3,77,25,24.85,22.89,5.61,62.21,clay,beans
78,58,15,25.01,67.82,6.53,62.91,sandy loam,maize
25,48,21,28.44,83.49,6.27,52.55,loamy,yam
40,18,43,19.39,86.79,5.77,109.91,sandy loam,guinea_corn
37,74,15,24.92,18.23,5.58,62.71,clay,beans
65,37,40,23.36,83.6,5.33,188.41,clay,rice
57,58,77,18.73,17.58,7.98,81.2,loamy,soybean
27,56,20,19.26,20.51,5.54,94.95,clay,beans
8,72,17,20.57,19.75,5.71,87.88,clay,beans
116,25,50,29.26,92.92,6.09,28.71,sandy loam,tomatoes
27,76,83,19.13,14.92,6.29,89.62,loamy,soybean
4,13,6,15.63,94.26,7.56,101.47,loamy,orange
